chain_id,pdb,uniprot,genes,location,function1,function2,species
618,2kgo.A,P41039,ybiI b0803 JW0788,,,zinc ion binding [GO:0008270],1
619,2kho.A,P0A6Y8,dnaK groP grpF seg b0014 JW0013,Cytoplasm {ECO:0000269|PubMed:16079137}. Cell inner membrane {ECO:0000269|PubMed:16079137}; Peripheral membrane protein {ECO:0000269|PubMed:16079137}.,"Plays an essential role in the initiation of phage lambda DNA replication, where it acts in an ATP-dependent fashion with the DnaJ protein to release lambda O and P proteins from the preprimosomal complex. DnaK is also involved in chromosomal DNA replication, possibly through an analogous interaction with the DnaA protein. Also participates actively in the response to hyperosmotic shock.",ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; protein binding involved in protein folding [GO:0044183]; sigma factor antagonist activity [GO:0016989]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270],1
620,2km7.A,P0A937,bamE smpA b2617 JW2598,"Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_00925, ECO:0000269|PubMed:17404237, ECO:0000269|PubMed:26900875, ECO:0000269|PubMed:26901871}; Lipid-anchor {ECO:0000255|HAMAP-Rule:MF_00925, ECO:0000269|PubMed:17404237, ECO:0000269|PubMed:27686148}.","Part of the outer membrane protein assembly complex (Bam), which is involved in assembly and insertion of beta-barrel proteins into the outer membrane. Nonessential member of the complex that stabilizes the interaction between the essential proteins BamA and BamD. May modulate the conformation of BamA, likely through interactions with BamD. Efficient substrate folding and insertion into the outer membrane requires all 5 subunits (PubMed:20378773, PubMed:21823654, PubMed:27686148). A lateral gate may open between the first and last strands of the BamA beta-barrel that allows substrate to insert into the outer membrane; comparison of the structures of complete and nearly complete Bam complexes show there is considerable movement of all 5 proteins (PubMed:27686148, PubMed:26900875, PubMed:26901871, PubMed:26744406). {ECO:0000269|PubMed:17404237, ECO:0000269|PubMed:20378773, ECO:0000269|PubMed:21207987, ECO:0000269|PubMed:21586578, ECO:0000269|PubMed:21823654, ECO:0000269|PubMed:22178970, ECO:0000269|PubMed:26744406, ECO:0000269|PubMed:26900875, ECO:0000269|PubMed:26901871, ECO:0000269|PubMed:27686148}.","identical protein binding [GO:0042802]; protein binding, bridging [GO:0030674]",1
621,2knq.A,P41443,gspH hofH hopH b3329 JW3291,,"Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins. {ECO:0000305}.",protein transporter activity [GO:0008565],1
622,2kqk.A,P0ACD4,iscU nifU yfhN b2529 JW2513,,"A scaffold on which IscS assembles Fe-S clusters. Exists as 2 interconverting forms, a structured (S) and disordered (D) form. The D-state is the preferred substrate for IscS. Converts to the S-state when an Fe-S cluster is assembled, which helps it dissociate from IscS to transfer the Fe-S to an acceptor. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters. {ECO:0000269|PubMed:11577100, ECO:0000269|PubMed:22203963}.","2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferrous iron binding [GO:0008198]; identical protein binding [GO:0042802]; iron-sulfur transferase activity [GO:0036455]",1
623,2kts.A,P52644,hslJ ydbI b1379 JW1374,,,,1
624,2kvt.A,P0AAN5,yaiA b0389 JW0380,,,,1
625,2kyr.A,P69808,fryB ypdH b2387 JW5389,Cytoplasm {ECO:0000305}.,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II FryABC PTS system is involved in fructose transport. {ECO:0000250|UniProtKB:P20966}.",kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity [GO:0090582]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563],1
626,2kz8.A,Q46864,mqsA ygiT b3021 JW2989,,"Antitoxin component of a type II toxin-antitoxin (TA) system. Labile antitoxin that binds to the MqsR mRNA interferase toxin and neutralizes its endoribonuclease activity. Overexpression prevents MqsR-mediated cessation of cell growth and inhibition of cell proliferation. Initially reported to act as a cotranscription factor with MqsA (PubMed:19690171, PubMed:20105222). Following further experiments, the MqsR-MqsA complex does not bind DNA and all reported data are actually due to a small fraction of free MqsA alone binding DNA. Addition of MqsR to a preformed MqsA-promoter DNA complex causes dissociation of the MqsA-DNA complex, probably causing derepression of MqsA-repressed transcripts (PubMed:23172222). MqsA binds to 2 palindromes in the promoter region of the mqsRA operon activating its transcription. Binds to other promoters, inducing mcbR and spy and repressing cspD among others (PubMed:20105222). Binds to and represses the rpoS promoter, the master stress regulator, resulting in decreased cyclic-di-GMP, reduced stress resistance, increased cell motility and decreased biofilm formation; in these experiments 5 TA systems are missing (lacks MazEF, RelEB, ChpB, YoeB-YefM, YafQ-DinJ) (PubMed:21516113). An earlier study showed overexpression alone increases biofilm formation, perhaps by repressing cspD; in these experiments the 5 TA systems are present (PubMed:20105222). Represses the csgD promoter. In the presence of stress, when this protein is degraded, the promoters it represses are derepressed, leading to biofilm formation (Probable). This TA system mediates cell growth during bile acid deoxycholate stress by degrading mRNA for probable deoxycholate-binding protein YgiS; bile acid detergents such as deoxycholate are important for host defense against bacterial growth in the gall bladder and duodenum (PubMed:25534751). {ECO:0000269|PubMed:19690171, ECO:0000269|PubMed:19943910, ECO:0000269|PubMed:20105222, ECO:0000269|PubMed:21516113, ECO:0000269|PubMed:23172222, ECO:0000269|PubMed:25534751, ECO:0000303|PubMed:24212724}.",metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565],1
627,2l15.A,P0A9X9,cspA cspS b3556 JW3525,Cytoplasm {ECO:0000269|PubMed:2404279}.,"Binds to and stimulates the transcription of the CCAAT-containing, cold-shock-inducible promoters of the H-NS and GyrA proteins. Binds also to the inverted repeat 5'-ATTGG-3'. {ECO:0000269|PubMed:1961761}.","DNA binding [GO:0003677]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; transcription antitermination factor activity, RNA binding [GO:0001072]",1
628,2ljp.A,P0A7Y8,rnpA b3704 JW3681,,"RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme. {ECO:0000255|HAMAP-Rule:MF_00227, ECO:0000269|PubMed:22298511}.",ribonuclease P activity [GO:0004526]; tRNA binding [GO:0000049],1
629,2llz.A,P0AF61,ghoS arT yjdK b4128 JW4089,,"Antitoxin component of a type V toxin-antitoxin (TA) system. Neutralizes the toxic effects of toxin GhoT by digesting ghoT transcripts in a sequence-specific manner (PubMed:22941047). In concert with GhoT is involved in reducing cell growth during antibacterial stress (PubMed:24373067). Overexpression leads to transcript level reduction of 20 other mRNAs involved in purine or pyrimidine synthesis and transport. Not seen to bind its own promoter DNA (PubMed:22941047). {ECO:0000269|PubMed:22941047, ECO:0000269|PubMed:24373067}.",endoribonuclease activity [GO:0004521],1
630,2lqv.A,P33219,yebF b1847 JW1836,Secreted {ECO:0000269|PubMed:16369539}.,,,1
631,2lrm.A,P0AB46,ymgD b1171 JW5177,,,,1
632,2lvw.A,P0ADF8,ilvN b3670 JW3645,,,acetolactate synthase activity [GO:0003984],1
633,2lx9.A,P0AEL3,feoA b3408 JW3371,Cytoplasm {ECO:0000305|PubMed:23104801}.,"Involved in Fe(2+) ion uptake (PubMed:8407793). Does not stimulate the GTPase activity of the N-terminus of FeoB (residues 1-276). {ECO:0000269|PubMed:23104801, ECO:0000269|PubMed:8407793}.",transition metal ion binding [GO:0046914],1
634,2m6k.A,P0AEL6,fepB b0592 JW0584,Periplasm.,Binds ferrienterobactin; part of the binding-protein-dependent transport system for uptake of ferrienterobactin.,,1
635,2mok.A,P61949,fldA b0684 JW0671,,"Low-potential electron donor to a number of redox enzymes (Potential). Involved in the reactivation of inactive cob(II)alamin in methionine synthase. {ECO:0000269|PubMed:9730838, ECO:0000305}.",electron transfer activity [GO:0009055]; FMN binding [GO:0010181],1
636,2mt9.A,P0ABY4,fldB b2895 JW2863,,Low-potential electron donor to a number of redox enzymes. {ECO:0000305}.,electron transfer activity [GO:0009055]; FMN binding [GO:0010181],1
637,2mx1.A,P45748,tsaC rimN yrdC b3282 JW3243,Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01852}.,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Catalyzes the conversion of L-threonine, HCO(3)(-)/CO(2) and ATP to give threonylcarbamoyl-AMP (TC-AMP) as the acyladenylate intermediate, with the release of diphosphate. Is also able to catalyze the reverse reaction in vitro, i.e. the formation of ATP from TC-AMP and PPi. Shows higher affinity for the full-length tRNA(Thr) lacking only the t(6)A37 modification than for its fully modified counterpart. Could also be required for the maturation of 16S rRNA. Binds to double-stranded RNA but does not interact tightly with either of the ribosomal subunits, or the 70S particles. {ECO:0000255|HAMAP-Rule:MF_01852, ECO:0000269|PubMed:15716138, ECO:0000269|PubMed:19287007, ECO:0000269|PubMed:21285948, ECO:0000269|PubMed:22378793, ECO:0000269|PubMed:23072323}.",ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; nucleotidyltransferase activity [GO:0016779]; tRNA binding [GO:0000049],1
638,2myj.A,P0AET2,hdeB yhhD yhiC b3509 JW5669,"Periplasm {ECO:0000255|HAMAP-Rule:MF_00947, ECO:0000269|PubMed:17085547}.","Required for optimal acid stress protection, which is important for survival of enteric bacteria in the acidic environment of the host stomach. Exhibits a chaperone-like activity at acidic pH by preventing the aggregation of many different periplasmic proteins. {ECO:0000255|HAMAP-Rule:MF_00947, ECO:0000269|PubMed:17085547}.",unfolded protein binding [GO:0051082],1
639,2n5t.A,P08839,ptsI b2416 JW2409,Cytoplasm {ECO:0000305}.,"General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (PubMed:7876255, PubMed:12705838, PubMed:17053069). Can also use (Z)-3-fluoro-PEP (ZFPEP), (Z)-3-methyl-PEP (ZMePEP), (Z)-3-chloro-PEP (ZClPEP) and (E)-3-chloro-PEP (EClPEP) as alternative phosphoryl donors (PubMed:12705838). {ECO:0000269|PubMed:12705838, ECO:0000269|PubMed:17053069, ECO:0000269|PubMed:7876255}.",identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965],1
640,2n62.L,P62395,secM srrA yacA b0097 JW5007,"Cytoplasm, cytosol {ECO:0000269|PubMed:1834634}. Periplasm {ECO:0000269|PubMed:1834634}. Note=The active form is cytosolic, while the periplasmic form is rapidly degraded, mainly by the tail-specific protease.","Regulates secA expression by translational coupling of the secM secA operon. Ribosomes translating the C-terminal region of secM can disrupt an RNA repressor helix that normally blocks secA translation initiation, derepressing the expression of secA. Translational pausing of secM at Pro-166 under secretion-limiting conditions increases the duration of the disruption and thus increases secA expression. This is controlled by interaction of the secM signal peptide with secA and the translocon, possibly by secA pulling the paused secM out of the ribosome. The arrest sequence (150-FXXXXWIXXXXGIRAGP-166) is sufficient to cause arrest of unrelated proteins. Elongation arrest can be alleviated by mutations in the 23S rRNA or in ribosomal protein L22.",translation regulator activity [GO:0045182],1
641,2na4.A,P0AE95,csgE b1039 JW1022,,May be involved in the biogenesis of curli organelles.,identical protein binding [GO:0042802],1
642,2nqp.A,P07649,truA asuC hisT leuK b2318 JW2315,,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs. {ECO:0000269|PubMed:17466622}.",pseudouridine synthase activity [GO:0009982]; tRNA binding [GO:0000049]; tRNA pseudouridine synthase activity [GO:0106029],1
643,2ns1.B,P0AC55,glnK ybaI b0450 JW0440,,"P-II indirectly controls the transcription of the glutamine synthetase gene (glnA). P-II prevents NR-II-catalyzed conversion of NR-I to NR-I-phosphate, the transcriptional activator of GlnA. When P-II is uridylylated to P-II-UMP, these events are reversed. When the ratio of Gln to 2-ketoglutarate decreases, P-II is uridylylated to P-II-UMP, which causes the deadenylation of glutamine synthetase by GlnE, so activating the enzyme (By similarity). {ECO:0000250}.",enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]; nucleotide binding [GO:0000166],1
644,2nu8.A,P0AGE9,sucD b0729 JW0718,,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit. Can use either ATP or GTP, but prefers ATP. It can also function in the other direction for anabolic purposes, and this may be particularly important for providing succinyl-CoA during anaerobic growth when the oxidative route from 2-oxoglutarate is severely repressed. {ECO:0000255|HAMAP-Rule:MF_01988, ECO:0000269|PubMed:10353839}.",cofactor binding [GO:0048037]; nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775],1
645,2nu8.B,P0A836,sucC b0728 JW0717,,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit. Can use either ATP or GTP, but prefers ATP. It can also function in the other direction for anabolic purposes, and this may be particularly important for providing succinyl-CoA during anaerobic growth when the oxidative route from 2-oxoglutarate is severely repressed. {ECO:0000255|HAMAP-Rule:MF_00558, ECO:0000269|PubMed:10353839}.",ATP binding [GO:0005524]; metal ion binding [GO:0046872]; succinate-CoA ligase (ADP-forming) activity [GO:0004775],1
646,2nya.A,P33937,napA yojC yojD yojE b2206 JW2194,"Periplasm {ECO:0000255|HAMAP-Rule:MF_01630, ECO:0000269|PubMed:10234835}.","Catalytic subunit of the periplasmic nitrate reductase complex NapAB. Receives electrons from NapB and catalyzes the reduction of nitrate to nitrite. {ECO:0000255|HAMAP-Rule:MF_01630, ECO:0000269|PubMed:17130127}.","4 iron, 4 sulfur cluster binding [GO:0051539]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase activity [GO:0003954]; nitrate reductase (cytochrome) activity [GO:0050140]; nitrate reductase activity [GO:0008940]",1
647,2nyb.A,P0AGD3,sodB b1656 JW1648,,Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.,iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; superoxide dismutase activity [GO:0004784],1
648,2o1c.A,P0AFC0,nudB ntpA b1865 JW1854,,"Catalyzes the hydrolysis of dihydroneopterin triphosphate to dihydroneopterin monophosphate and pyrophosphate. Required for efficient folate biosynthesis. Can also hydrolyze nucleoside triphosphates with a preference for dATP. {ECO:0000269|PubMed:17698004, ECO:0000269|PubMed:8798731}.",dATP pyrophosphohydrolase activity [GO:0008828]; dihydroneopterin triphosphate pyrophosphohydrolase activity [GO:0019177]; magnesium ion binding [GO:0000287],1
649,2o1s.A,P77488,dxs yajP b0420 JW0410,,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP). {ECO:0000269|PubMed:17135236}.,1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; metal ion binding [GO:0046872]; thiamine pyrophosphate binding [GO:0030976],1
650,2o8v.A,P17854,cysH b2762 JW2732,Cytoplasm.,Reduction of activated sulfate into sulfite.,phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604],1
651,2o90.A,P0AC16,folB ygiG b3058 JW3030,,"Catalyzes the conversion of 7,8-dihydroneopterin to 6-hydroxymethyl-7,8-dihydropterin. Can use L-threo-dihydroneopterin and D-erythro-dihydroneopterin as substrates for the formation of 6-hydroxymethyldihydropterin, but it can also catalyze the epimerization of carbon 2' of dihydroneopterin to dihydromonapterin at appreciable velocity. {ECO:0000269|PubMed:9651328}.",dihydroneopterin aldolase activity [GO:0004150]; identical protein binding [GO:0042802]; isomerase activity [GO:0016853],1
652,2o9g.A,P60844,aqpZ bniP b0875 JW0859,"Cell inner membrane {ECO:0000269|PubMed:10487750, ECO:0000269|PubMed:10518952}; Multi-pass membrane protein {ECO:0000269|PubMed:10487750, ECO:0000269|PubMed:10518952}.","Channel that permits osmotically driven movement of water in both directions. It is involved in the osmoregulation and in the maintenance of cell turgor during volume expansion in rapidly growing cells. It mediates rapid entry or exit of water in response to abrupt changes in osmolarity. {ECO:0000269|PubMed:10400575, ECO:0000269|PubMed:10518952, ECO:0000269|PubMed:11493683}.",identical protein binding [GO:0042802]; water channel activity [GO:0015250],1
653,2obc.A,P25539,ribD ribG ybaE b0414 JW0404,,"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)-pyrimidinedione 5'-phosphate.",5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]; NADP binding [GO:0050661]; zinc ion binding [GO:0008270],1
654,2ojp.A,P0A6L2,dapA b2478 JW2463,Cytoplasm.,"Catalyzes the condensation of (S)-aspartate-beta-semialdehyde [(S)-ASA] and pyruvate to 4-hydroxy-tetrahydrodipicolinate (HTPA). {ECO:0000255|HAMAP-Rule:MF_00418, ECO:0000269|PubMed:20503968, ECO:0000269|PubMed:8993314}.",4-hydroxy-tetrahydrodipicolinate synthase [GO:0008840]; identical protein binding [GO:0042802],1
655,2olw.A,P75966,rluE ymfC b1135 JW1121,,Responsible for synthesis of pseudouridine from uracil-2457 in 23S ribosomal RNA. {ECO:0000269|PubMed:11720289}.,pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159],1
656,2oq3.A,P69824,cmtB b2934 JW2901,Cytoplasm {ECO:0000305}.,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II CmtAB PTS system is involved in D-mannitol transport. {ECO:0000250|UniProtKB:P0A0E0}.",kinase activity [GO:0016301],1
657,2ot2.A,P0AAM3,hypC b2728 JW2698,,"Involved in the maturation of [NiFe] hydrogenases. Involved in the biosynthesis of the Fe(CN)(2)CO cofactor (PubMed:15504408, PubMed:23022438). HypC delivers iron-bound CO(2) to HypD where reduction to CO probably occurs (PubMed:23851071). In complex with HypD, accepts the cyanide ligand generated by HypF and HypE, and also coordinates the carbon monoxide ligand (PubMed:15504408, PubMed:23022438). Involved in the maturation of the hydrogenase 3 (PubMed:10783387, PubMed:11292801). Also participates in the maturation of hydrogenase 1 (PubMed:11292801). {ECO:0000269|PubMed:10783387, ECO:0000269|PubMed:11292801, ECO:0000269|PubMed:15504408, ECO:0000269|PubMed:23022438, ECO:0000269|PubMed:23851071}.",carbon dioxide binding [GO:1902670]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506],1
658,2oug.A,P0AFW0,rfaH hlyT sfrB b3842 JW3818,,"Enhances distal genes transcription elongation in a specialized subset of operons that encode extracytoplasmic components. RfaH is recruited into a multi-component RNA polymerase complex by the ops element, which is a short conserved DNA sequence located downstream of the main promoter of these operons. Once bound, RfaH suppresses pausing and inhibits Rho-dependent and intrinsic termination at a subset of sites. Termination signals are bypassed, which allows complete synthesis of long RNA chains. Enhances expression of several operons involved in synthesis of lipopolysaccharides, exopolysaccharides, hemolysin, and sex factor. Also negatively controls expression and surface presentation of AG43 and possibly another AG43-independent factor that mediates cell-cell interactions and biofilm formation. {ECO:0000255|HAMAP-Rule:MF_00951, ECO:0000269|PubMed:10660066, ECO:0000269|PubMed:11983161, ECO:0000269|PubMed:12007406, ECO:0000269|PubMed:1584020, ECO:0000269|PubMed:16452414, ECO:0000269|PubMed:8606157, ECO:0000269|PubMed:8951819, ECO:0000269|PubMed:9171395, ECO:0000269|PubMed:9426123}.","bacterial-type RNA polymerase core enzyme binding [GO:0001000]; DNA binding [GO:0003677]; transcription antitermination factor activity, DNA binding [GO:0001073]; translation activator activity [GO:0008494]",1
659,2owl.A,P36767,rdgC yaiD b0393 JW0384,"Cytoplasm, nucleoid.",May be involved in recombination.,double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697],1
660,2ozy.A,P0ABL1,nrfB yjcI b4071 JW4032,Periplasm {ECO:0000305}.,Plays a role in nitrite reduction.,"electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitrite reductase (cytochrome, ammonia-forming) activity [GO:0042279]",1
661,2p4v.A,P30128,greB b3406 JW3369,,"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreB releases sequences of up to 9 nucleotides in length. {ECO:0000255|HAMAP-Rule:MF_00930, ECO:0000269|PubMed:8431948}.",DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063],1
662,2p67.A,P27254,argK ygfD b2918 JW2885,,"Binds and hydrolyzes GTP (PubMed:18950999). Likely functions as a G-protein chaperone that assists AdoCbl cofactor delivery to the methylmalonyl-CoA mutase (MCM) ScpA and reactivation of the enzyme during catalysis. {ECO:0000269|PubMed:18950999, ECO:0000305}.",ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525],1
663,2p7v.A,P0AFX4,rsd b3995 JW3959,Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01181}.,"Binds RpoD and negatively regulates RpoD-mediated transcription activation by preventing the interaction between the primary sigma factor RpoD with the catalytic core of the RNA polymerase and with promoter DNA. May be involved in replacement of the RNA polymerase sigma subunit from RpoD to RpoS during the transition from exponential growth to the stationary phase. {ECO:0000255|HAMAP-Rule:MF_01181, ECO:0000269|PubMed:10368152, ECO:0000269|PubMed:9560209}.",sigma factor antagonist activity [GO:0016989],1
664,2pan.A,P0AEP7,gcl b0507 JW0495,,Catalyzes the condensation of two molecules of glyoxylate to give 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde).,FAD binding [GO:0071949]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; tartronate-semialdehyde synthase activity [GO:0009028]; thiamine pyrophosphate binding [GO:0030976],1
665,2paq.A,P76491,yfbR b2291 JW2288,Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01100}.,"Essential component of the deoxycytidine triphosphate (dCTP) pathway for de novo synthesis of thymidylate. Catalyzes the strictly specific dephosphorylation of 2'-deoxyribonucleoside 5'-monophosphates (dAMP, dGMP, dTMP, dUMP, dIMP and dCMP) and does not dephosphorylate 5'-ribonucleotides or ribonucleoside 3'-monophosphates. {ECO:0000269|PubMed:15489502, ECO:0000269|PubMed:17827303, ECO:0000269|PubMed:18353368}.",5'-deoxynucleotidase activity [GO:0002953]; cobalt ion binding [GO:0050897]; identical protein binding [GO:0042802]; nucleotide binding [GO:0000166],1
666,2pii.A,P0A9Z1,glnB b2553 JW2537,,"P-II indirectly controls the transcription of the glutamine synthetase gene (glnA). P-II prevents NR-II-catalyzed conversion of NR-I to NR-I-phosphate, the transcriptional activator of GlnA. When P-II is uridylylated to P-II-UMP, these events are reversed. When the ratio of Gln to 2-ketoglutarate decreases, P-II is uridylylated to P-II-UMP, which causes the deadenylation of glutamine synthetase by GlnE, so activating the enzyme.",ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]; small molecule binding [GO:0036094],1
667,2pjd.A,P39406,rsmC yjjT b4371 JW4333,Cytoplasm {ECO:0000305}.,Specifically methylates the guanine in position 1207 of 16S rRNA in the 30S particle.,16S rRNA (guanine(1207)-N(2))-methyltransferase activity [GO:0052914]; nucleic acid binding [GO:0003676]; rRNA (guanine-N2-)-methyltransferase activity [GO:0008990],1
668,2pqx.A,P21338,rna rnsA b0611 JW0603,Periplasm. Cytoplasm. Note=RNase I (periplasmic) and RNase I* (cytoplasmic) appear to be isoforms apparently encoded by the same gene. The cytoplasmic form is less active towards natural polymer RNA.,One of the few RNases that cleaves the phosphodiester bond between any two nucleotide. Shows a preference for cytidylic or guanylic acid.,Enterobacter ribonuclease activity [GO:0008847]; ribonuclease T2 activity [GO:0033897]; RNA binding [GO:0003723],1
669,2prs.A,P39172,znuA yebL yzzP b1857 JW5831,Periplasm.,Involved in the high-affinity zinc uptake transport system.,zinc ion binding [GO:0008270],1
670,2ptr.A,P0AB89,purB b1131 JW1117,,,"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]",1
671,2pw6.A,P24197,ygiD b3039 JW3007,Cytoplasm {ECO:0000269|PubMed:23666480}.,"In vitro, opens the cyclic ring of dihydroxy-phenylalanine (DOPA) between carbons 4 and 5, thus producing an unstable seco-DOPA that rearranges nonenzymatically to betalamic acid. The physiological substrate is unknown. {ECO:0000269|PubMed:23666480}.",DOPA dioxygenase activity [GO:0046566]; ferrous iron binding [GO:0008198]; stizolobate synthase activity [GO:0050297]; zinc ion binding [GO:0008270],1
672,2q28.A,P0AFI0,oxc yfdU b2373 JW2370,,Involved in the catabolism of oxalate and in the adapatation to low pH via the induction of the oxalate-dependent acid tolerance response (ATR). Catalyzes the decarboxylation of oxalyl-CoA to yield carbon dioxide and formyl-CoA. {ECO:0000269|PubMed:20553497}.,ADP binding [GO:0043531]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; oxalyl-CoA decarboxylase activity [GO:0008949]; thiamine pyrophosphate binding [GO:0030976],1
673,2q7w.A,P00509,aspC b0928 JW0911,Cytoplasm.,,identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; pyridoxal phosphate binding [GO:0030170],1
674,2qcu.A,P13035,glpD glyD b3426 JW3389,Cytoplasm.,Conversion of glycerol 3-phosphate to dihydroxyacetone. Uses molecular oxygen or nitrate as electron acceptor.,electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]; sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity [GO:0052590],1
675,2qfi.A,P69380,fieF yiiP b3915 JW3886,Cell inner membrane; Multi-pass membrane protein.,Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn(2+) in a proton-dependent manner. {ECO:0000269|PubMed:15549269}.,cadmium ion transmembrane transporter activity [GO:0015086]; ferrous iron transmembrane transporter activity [GO:0015093]; identical protein binding [GO:0042802]; zinc efflux active transmembrane transporter activity [GO:0015341],1
